City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Nabire,ID,-3.37,135.48,75.94,93,100,4.43,overcast clouds
316,Dzhebariki-Khaya,RU,62.22,135.80,27.57,81,60,4.41,broken clouds
317,Tura,IN,25.52,90.22,75.85,90,93,4.92,overcast clouds
318,Quelimane,MZ,-17.88,36.89,85.95,54,0,18.41,clear sky
319,Brits,ZA,-25.63,27.78,78.53,16,67,10.00,broken clouds
320,Leona Vicario,MX,20.97,-87.19,82.27,84,11,2.44,few clouds
321,Torbay,CA,47.67,-52.73,55.76,71,75,8.99,broken clouds
322,Clyde River,CA,70.47,-68.59,30.43,93,100,6.91,light snow
323,Talcahuano,CL,-36.72,-73.12,49.68,66,40,4.61,scattered clouds
324,Rocha,UY,-34.48,-54.33,55.71,76,100,12.30,overcast clouds
325,Rassvet,RU,46.83,40.75,74.62,36,50,8.84,scattered clouds
326,Faya,SA,18.39,42.45,75.72,49,90,7.36,overcast clouds
327,Fort Nelson,CA,58.81,-122.70,33.39,93,20,8.05,few clouds
328,Dubbo,AU,-32.25,148.62,59.13,67,100,14.97,overcast clouds
329,Moshny,UA,49.51,31.75,53.67,83,97,5.35,light rain
330,Alta Floresta,BR,-9.88,-56.09,91.22,52,32,5.75,scattered clouds
331,Hamilton,US,39.18,-84.53,75.99,90,100,1.99,fog
332,Champerico,GT,14.30,-91.92,81.14,81,91,5.37,overcast clouds
333,Arica,CL,-18.48,-70.30,60.35,82,100,11.50,overcast clouds
334,Gat,IL,31.61,34.76,83.08,100,23,14.20,few clouds
335,Dhidhdhoo,MV,6.88,73.10,81.27,78,100,11.90,overcast clouds
336,Shelby,US,35.20,-89.87,84.29,76,0,4.61,clear sky
337,Newport,GB,51.59,-3.00,69.12,61,64,3.87,broken clouds
338,Arys,KZ,42.43,68.80,83.10,18,1,12.53,clear sky
339,Sisimiut,GL,66.94,-53.67,37.85,95,100,8.68,overcast clouds
340,Tazovskiy,RU,67.47,78.70,36.21,60,100,14.56,light rain
341,La Carolina,ES,38.28,-3.62,87.12,32,0,6.51,clear sky
342,Abonnema,NG,4.71,6.79,86.29,69,99,4.43,light rain
343,Bandar-E Lengeh,IR,26.56,54.88,93.31,66,20,4.61,few clouds
344,Goderich,CA,43.75,-81.72,70.92,73,3,5.75,clear sky
345,Loubomo,CG,-4.20,12.67,86.32,48,99,5.28,overcast clouds
346,Camacha,PT,33.08,-16.33,72.82,78,40,11.50,scattered clouds
347,Gigmoto,PH,13.78,124.39,78.17,91,100,2.21,overcast clouds
348,Chilca,PE,-12.52,-76.74,61.70,76,95,3.58,overcast clouds
349,Sakakah,SA,29.97,40.21,98.17,19,0,5.50,clear sky
350,Santo Antonio Do Ica,BR,-3.10,-67.94,90.30,54,34,2.68,scattered clouds
351,Torrington,US,41.80,-73.12,71.46,88,32,3.00,scattered clouds
352,Pemangkat,ID,1.17,108.97,80.02,75,100,2.89,overcast clouds
353,Biu,NG,10.61,12.19,79.81,66,81,4.65,broken clouds
354,Andenes,NO,69.31,16.12,46.92,61,75,9.22,broken clouds
355,Grand-Santi,GF,4.25,-54.38,85.64,61,78,3.15,broken clouds
356,Katsuura,JP,35.13,140.30,66.22,90,100,21.59,overcast clouds
357,Menzelinsk,RU,55.73,53.10,62.51,56,100,6.26,overcast clouds
358,Rio Gallegos,AR,-51.62,-69.22,44.65,57,0,14.97,clear sky
359,Leh,IN,34.17,77.58,61.07,23,24,4.97,few clouds
360,Mataram,ID,-8.58,116.12,79.61,83,33,10.29,scattered clouds
361,Tomatlan,MX,19.93,-105.25,75.69,88,62,2.30,broken clouds
362,Northam,GB,51.03,-4.22,64.65,65,23,6.67,few clouds
363,Namatanai,PG,-3.67,152.43,79.03,79,100,4.90,overcast clouds
